cve,event_type,event_date,source,raw_date_field
CVE-2020-1020,KEV,2021-11-03,KEV,dateAdded
CVE-2020-10221,KEV,2021-11-03,KEV,dateAdded
CVE-2020-1040,KEV,2021-11-03,KEV,dateAdded
CVE-2020-1054,KEV,2021-11-03,KEV,dateAdded
CVE-2020-10987,KEV,2021-11-03,KEV,dateAdded
CVE-2020-1147,KEV,2021-11-03,KEV,dateAdded
CVE-2020-11651,KEV,2021-11-03,KEV,dateAdded
CVE-2020-11652,KEV,2021-11-03,KEV,dateAdded
CVE-2020-11738,KEV,2021-11-03,KEV,dateAdded
CVE-2020-12271,KEV,2021-11-03,KEV,dateAdded
CVE-2020-12812,KEV,2021-11-03,KEV,dateAdded
CVE-2020-1350,KEV,2021-11-03,KEV,dateAdded
CVE-2020-1380,KEV,2021-11-03,KEV,dateAdded
CVE-2020-1464,KEV,2021-11-03,KEV,dateAdded
CVE-2020-1472,KEV,2021-11-03,KEV,dateAdded
CVE-2020-14750,KEV,2021-11-03,KEV,dateAdded
CVE-2020-14871,KEV,2021-11-03,KEV,dateAdded
CVE-2020-14882,KEV,2021-11-03,KEV,dateAdded
CVE-2020-14883,KEV,2021-11-03,KEV,dateAdded
CVE-2020-15505,KEV,2021-11-03,KEV,dateAdded
CVE-2020-15999,KEV,2021-11-03,KEV,dateAdded
CVE-2020-16009,KEV,2021-11-03,KEV,dateAdded
CVE-2020-16010,KEV,2021-11-03,KEV,dateAdded
CVE-2020-16013,KEV,2021-11-03,KEV,dateAdded
CVE-2020-16017,KEV,2021-11-03,KEV,dateAdded
CVE-2020-16846,KEV,2021-11-03,KEV,dateAdded
CVE-2020-17087,KEV,2021-11-03,KEV,dateAdded
CVE-2020-17144,KEV,2021-11-03,KEV,dateAdded
CVE-2020-17496,KEV,2021-11-03,KEV,dateAdded
CVE-2020-17530,KEV,2021-11-03,KEV,dateAdded
CVE-2020-24557,KEV,2021-11-03,KEV,dateAdded
CVE-2020-25213,KEV,2021-11-03,KEV,dateAdded
CVE-2020-25506,KEV,2021-11-03,KEV,dateAdded
CVE-2020-2555,KEV,2021-11-03,KEV,dateAdded
CVE-2020-26919,KEV,2021-11-03,KEV,dateAdded
CVE-2020-27930,KEV,2021-11-03,KEV,dateAdded
CVE-2020-27932,KEV,2021-11-03,KEV,dateAdded
CVE-2020-27950,KEV,2021-11-03,KEV,dateAdded
CVE-2020-29557,KEV,2021-11-03,KEV,dateAdded
CVE-2020-29583,KEV,2021-11-03,KEV,dateAdded
CVE-2020-3118,KEV,2021-11-03,KEV,dateAdded
CVE-2020-3161,KEV,2021-11-03,KEV,dateAdded
CVE-2020-3452,KEV,2021-11-03,KEV,dateAdded
CVE-2020-3566,KEV,2021-11-03,KEV,dateAdded
CVE-2020-3569,KEV,2021-11-03,KEV,dateAdded
CVE-2020-3580,KEV,2021-11-03,KEV,dateAdded
CVE-2020-3950,KEV,2021-11-03,KEV,dateAdded
CVE-2020-3952,KEV,2021-11-03,KEV,dateAdded
CVE-2020-3992,KEV,2021-11-03,KEV,dateAdded
CVE-2020-4006,KEV,2021-11-03,KEV,dateAdded
CVE-2020-4427,KEV,2021-11-03,KEV,dateAdded
CVE-2020-4428,KEV,2021-11-03,KEV,dateAdded
CVE-2020-4430,KEV,2021-11-03,KEV,dateAdded
CVE-2020-5735,KEV,2021-11-03,KEV,dateAdded
CVE-2020-5847,KEV,2021-11-03,KEV,dateAdded
CVE-2020-5849,KEV,2021-11-03,KEV,dateAdded
CVE-2020-5902,KEV,2021-11-03,KEV,dateAdded
CVE-2020-6207,KEV,2021-11-03,KEV,dateAdded
CVE-2020-6287,KEV,2021-11-03,KEV,dateAdded
CVE-2020-6418,KEV,2021-11-03,KEV,dateAdded
CVE-2020-6819,KEV,2021-11-03,KEV,dateAdded
CVE-2020-6820,KEV,2021-11-03,KEV,dateAdded
CVE-2020-7961,KEV,2021-11-03,KEV,dateAdded
CVE-2020-8193,KEV,2021-11-03,KEV,dateAdded
CVE-2020-8195,KEV,2021-11-03,KEV,dateAdded
CVE-2020-8196,KEV,2021-11-03,KEV,dateAdded
CVE-2020-8243,KEV,2021-11-03,KEV,dateAdded
CVE-2020-8260,KEV,2021-11-03,KEV,dateAdded
CVE-2020-8467,KEV,2021-11-03,KEV,dateAdded
CVE-2020-8468,KEV,2021-11-03,KEV,dateAdded
CVE-2020-8515,KEV,2021-11-03,KEV,dateAdded
CVE-2020-8599,KEV,2021-11-03,KEV,dateAdded
CVE-2020-8644,KEV,2021-11-03,KEV,dateAdded
CVE-2020-8655,KEV,2021-11-03,KEV,dateAdded
CVE-2020-8657,KEV,2021-11-03,KEV,dateAdded
CVE-2020-9818,KEV,2021-11-03,KEV,dateAdded
CVE-2020-9819,KEV,2021-11-03,KEV,dateAdded
CVE-2020-9859,KEV,2021-11-03,KEV,dateAdded
CVE-2021-1497,KEV,2021-11-03,KEV,dateAdded
CVE-2021-1498,KEV,2021-11-03,KEV,dateAdded
CVE-2021-1647,KEV,2021-11-03,KEV,dateAdded
CVE-2021-1675,KEV,2021-11-03,KEV,dateAdded
CVE-2021-1732,KEV,2021-11-03,KEV,dateAdded
CVE-2021-1782,KEV,2021-11-03,KEV,dateAdded
CVE-2021-1870,KEV,2021-11-03,KEV,dateAdded
CVE-2021-1871,KEV,2021-11-03,KEV,dateAdded
CVE-2021-1879,KEV,2021-11-03,KEV,dateAdded
